"time","date","flight_time","depth","heading","battery_remaining","lat","lon","satellite_count","temp","seq","avg_dist","avg_conf","EucDIS","clock","clock_min","lat_smooth","lon_smooth","EucSmooth"
"11:03:04","3/30/2023","00:17:29",-6.096,253,83,47.6301307,-122.3980712,10,46.36,17.5166666666667,0.976444444444444,100,0,84,1.4,47.6301372737703,-122.398040914493,0.180398260165989
"11:03:05","3/30/2023","00:17:30",-6.096,253,83,47.6301307,-122.3980712,10,46.38,17.5333333333333,0.976,100,0,85,1.41666666666667,47.6301371706278,-122.398038699309,0.166818879879158
"11:03:06","3/30/2023","00:17:31",-6.12648,253,83,47.6301269,-122.3980789,10,46.38,17.55,0.968111111111111,100,0.716256723092364,86,1.43333333333333,47.6301370492634,-122.398036473488,0.167766872888887
"11:03:07","3/30/2023","00:17:32",-6.12648,253,83,47.6301307,-122.3980712,10,46.36,17.5666666666667,0.961777777777778,100,0.716256723092364,87,1.45,47.630136897989,-122.398034482487,0.150523848469195
"11:03:08","3/30/2023","00:17:33",-6.096,259,83,47.6301307,-122.398056,10,46.38,17.5833333333333,0.967444444444444,100,1.14196116971625,88,1.46666666666667,47.6301367670056,-122.398032528892,0.14749188647462
"11:03:09","3/30/2023","00:17:35",-6.06552,256,83,47.6301345,-122.3980407,10,46.38,17.6,0.973333333333333,100,1.22460585668408,89,1.48333333333333,47.6301365472846,-122.398030733874,0.137051115448177
"11:03:10","3/30/2023","00:17:36",-6.096,256,83,47.6301345,-122.3980407,10,46.38,17.6166666666667,0.967888888888889,100,0,90,1.5,47.6301363512776,-122.398028994629,0.132471187787802
"11:03:11","3/30/2023","00:17:36",-6.12648,256,83,47.6301345,-122.3980255,10,46.38,17.6333333333333,0.955,100,1.14196108799438,91,1.51666666666667,47.6301360586906,-122.398027331788,0.129090552397716
"11:03:12","3/30/2023","00:17:37",-6.12648,256,83,47.6301345,-122.3980178,10,46.38,17.65,0.944777777777778,100,0.578493448153623,92,1.53333333333333,47.6301357198725,-122.398025860946,0.116742969569014
"11:03:13","3/30/2023","00:17:38",-6.096,256,83,47.6301383,-122.3980102,10,46.4,17.6666666666667,0.947111111111111,100,0.710202587596431,93,1.55,47.630135338897,-122.398024673286,0.0987646160428196
"11:03:14","3/30/2023","00:17:39",-6.096,256,83,47.6301345,-122.3980102,10,46.4,17.6833333333333,0.953666666666667,100,0.422337490899159,94,1.56666666666667,47.6301349065831,-122.398023465361,0.102684991270623
"11:03:15","3/30/2023","00:17:40",-6.096,256,83,47.6301345,-122.3980102,10,46.38,17.7,0.958555555555555,100,0,95,1.58333333333333,47.6301344756442,-122.398022496663,0.0871233944014445
"11:03:16","3/30/2023","00:17:41",-6.096,257,83,47.6301383,-122.3980102,10,46.38,17.7166666666667,0.948444444444444,100,0.422337490899159,96,1.6,47.6301339395694,-122.398021655957,0.0868283477190964
"11:03:17","3/30/2023","00:17:42",-6.12648,265,83,47.6301345,-122.3980026,10,46.38,17.7333333333333,0.938444444444444,100,0.710202589804354,97,1.61666666666667,47.6301334149529,-122.398020931763,0.0797489037679672
"11:03:18","3/30/2023","00:17:43",-6.096,263,83,47.6301345,-122.3980026,10,46.38,17.75,0.938555555555555,100,0,98,1.63333333333333,47.630132844293,-122.398020407838,0.0746455859712841
"11:03:19","3/30/2023","00:17:44",-6.06552,263,83,47.6301383,-122.3979949,10,46.38,17.7666666666667,0.939111111111111,100,0.716256659238564,99,1.65,47.6301322213071,-122.398019969609,0.0766686926072813
"11:03:20","3/30/2023","00:17:45",-6.03504,262,83,47.6301383,-122.3979949,10,46.36,17.7833333333333,0.948222222222222,100,0,100,1.66666666666667,47.630131490547,-122.398019821474,0.0819767015179058
