"SU","transect","min","Date","Time","Mode_num","Mode","V","A","W","log_W","Ah","mAh","Wh","Latitude","Longitude","EKFlat","EKFlon","DVLx","DVLy","DVLlat","DVLlon","Altitude","Depth","Depth_std","Depth_Source","Heading","Velocity_mps","Width","Area_m2","Distance","NEDz","VFR_alt"
79,"0",1.32,"2026-05-12","09:18:18",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,3.35689115524292,0,0,0,NA,0
80,"0",1.33,"2026-05-12","09:18:19",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,3.35689115524292,0,0,0,NA,0
81,"0",1.35,"2026-05-12","09:18:20",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,3.35689115524292,0,0,0,NA,0
82,"0",1.37,"2026-05-12","09:18:21",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,3.35689115524292,0,0,0,NA,0
83,"0",1.38,"2026-05-12","09:18:22",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,3.35689115524292,0,0,0,NA,0
84,"0",1.4,"2026-05-12","09:18:23",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,3.35689115524292,0,0,0,NA,0
85,"0",1.42,"2026-05-12","09:18:24",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,3.35689115524292,0,0,0,NA,0
86,"0",1.43,"2026-05-12","09:18:25",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,2.96047353744507,0,0,0,NA,0
87,"0",1.45,"2026-05-12","09:18:26",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,2.96047353744507,0,0,0,NA,0
88,"0",1.47,"2026-05-12","09:18:27",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,2.96047353744507,0,0,0,NA,0
89,"0",1.48,"2026-05-12","09:18:28",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,2.96047353744507,0,0,0,NA,0
90,"0",1.5,"2026-05-12","09:18:29",NA,"UNKNOWN",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,2.96047353744507,0,0,0,NA,0
91,"0",1.52,"2026-05-12","09:18:30",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,2.96047353744507,0,0,0,NA,0
92,"0",1.53,"2026-05-12","09:18:31",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,2.96047353744507,0,0,0,NA,0
93,"0",1.55,"2026-05-12","09:18:32",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,2.96047353744507,0,0,0,NA,0
94,"0",1.57,"2026-05-12","09:18:33",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,2.96047353744507,0,0,0,NA,0
95,"0",1.58,"2026-05-12","09:18:34",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,2.96047353744507,0,0,0,NA,0
96,"0",1.6,"2026-05-12","09:18:35",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,2.96047353744507,0,0,0,NA,0
97,"0",1.62,"2026-05-12","09:18:36",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,2.96047353744507,0,0,0,NA,0
98,"0",1.63,"2026-05-12","09:18:37",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,2.96047353744507,0,0,0,NA,0
99,"0",1.65,"2026-05-12","09:18:38",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,2.96047353744507,0,0,0,NA,0
100,"0",1.67,"2026-05-12","09:18:39",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,2.96047353744507,0,0,0,NA,0
101,"0",1.68,"2026-05-12","09:18:40",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,2.96047353744507,0,0,0,NA,0
102,"0",1.7,"2026-05-12","09:18:41",NA,"UNKNOWN",0,0,0,0,0.069,69,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",105.147053479627,2.96047353744507,0,0,0,NA,0
